scenario_id,category,datasets_json,omega,K,N_min,method,ci_low,ci_high,ci_width,clipped,valid,runtime_ms,width_ratio_vs_sim,jaccard_vs_sim,overlap_vs_sim,endpoint_abs_err_vs_sim,center_abs_err_vs_sim
24,single,"[[117, 157, 96]]",1.0,1000,178,Simulation (reference),183.0,203.0,20.0,False,True,250.4893000004813,1.0,1.0,20.0,0.0,0.0
24,single,"[[117, 157, 96]]",1.0,1000,178,ehp CI,183.0,203.0,20.0,False,True,1.0637999512255192,1.0,1.0,20.0,0.0,0.0
24,single,"[[117, 157, 96]]",1.0,1000,178,Established CI #1,181.48703061880298,201.4458293489662,19.958798730163238,False,True,0.22820010781288147,0.9979399365081619,0.8574283271693967,18.445829348966214,3.06714003223081,1.533570016115391
24,single,"[[117, 157, 96]]",1.0,1000,178,Established CI #2,183.0,205.0,22.0,False,True,2.9311999678611755,1.1,0.9090909090909091,20.0,2.0,1.0
25,single,"[[188, 75, 49]]",1.0,1439,214,Simulation (reference),253.0,339.0,86.0,False,True,406.4185000024736,1.0,1.0,86.0,0.0,0.0
25,single,"[[188, 75, 49]]",1.0,1439,214,ehp CI,254.0,340.0,86.0,False,True,0.7065000245347619,1.0,0.9770114942528736,85.0,2.0,1.0
25,single,"[[188, 75, 49]]",1.0,1439,214,Established CI #1,249.34208796295644,328.6899498979724,79.34786193501594,False,True,0.188700039871037,0.9226495573839063,0.8442082597986433,75.68994989797238,13.967962139071176,6.983981069535616
25,single,"[[188, 75, 49]]",1.0,1439,214,Established CI #2,253.0,343.0,90.0,False,True,2.6514000492170453,1.0465116279069768,0.9555555555555556,86.0,4.0,2.0
26,single,"[[34, 58, 27]]",1.0,1000,65,Simulation (reference),66.0,86.0,20.0,False,True,290.91400001198053,1.0,1.0,20.0,0.0,0.0
26,single,"[[34, 58, 27]]",1.0,1000,65,ehp CI,66.0,86.0,20.0,False,True,0.5147000774741173,1.0,1.0,20.0,0.0,0.0
26,single,"[[34, 58, 27]]",1.0,1000,65,Established CI #1,65.0,81.99297121611552,16.99297121611552,False,True,0.18440000712871552,0.849648560805776,0.7615700579102629,15.99297121611552,5.007028783884479,2.5035143919422467
26,single,"[[34, 58, 27]]",1.0,1000,65,Established CI #2,66.0,88.0,22.0,False,True,2.2682000417262316,1.1,0.9090909090909091,20.0,2.0,1.0
27,single,"[[58, 71, 18]]",1.0,1144,111,Simulation (reference),169.0,344.0,175.0,False,True,304.37579995486885,1.0,1.0,175.0,0.0,0.0
27,single,"[[58, 71, 18]]",1.0,1144,111,ehp CI,170.0,345.0,175.0,False,True,0.8021999383345246,1.0,0.9886363636363636,174.0,2.0,1.0
27,single,"[[58, 71, 18]]",1.0,1144,111,Established CI #1,163.08724337823452,303.77230484383847,140.68506146560395,False,True,0.23310002870857716,0.8039146369463083,0.7449574444637261,134.77230484383847,46.14045177792701,23.070225888963506
27,single,"[[58, 71, 18]]",1.0,1144,111,Established CI #2,169.0,347.0,178.0,False,True,2.9997999081388116,1.0171428571428571,0.9831460674157303,175.0,3.0,1.5
28,single,"[[70, 97, 20]]",1.0,1698,147,Simulation (reference),249.0,503.0,254.0,False,True,470.1777999289334,1.0,1.0,254.0,0.0,0.0
28,single,"[[70, 97, 20]]",1.0,1698,147,ehp CI,251.0,506.0,255.0,False,True,1.0660000843927264,1.0039370078740157,0.980544747081712,252.0,5.0,2.5
28,single,"[[70, 97, 20]]",1.0,1698,147,Established CI #1,241.85294336650873,451.1837217781895,209.3307784116808,False,True,0.19719998817890882,0.824136922880633,0.7742140554237443,202.18372177818952,58.96333485530175,29.481667427650905
28,single,"[[70, 97, 20]]",1.0,1698,147,Established CI #2,250.0,509.0,259.0,False,True,2.5159999495372176,1.0196850393700787,0.9730769230769231,253.0,7.0,3.5
29,single,"[[134, 150, 59]]",1.0,1704,225,Simulation (reference),301.0,405.0,104.0,False,True,480.0677999155596,1.0,1.0,104.0,0.0,0.0
29,single,"[[134, 150, 59]]",1.0,1704,225,ehp CI,297.0,402.0,105.0,False,True,0.8744999067857862,1.0096153846153846,0.9351851851851852,101.0,7.0,3.5
29,single,"[[134, 150, 59]]",1.0,1704,225,Established CI #1,292.84092304716376,391.8563065091779,99.01538346201414,False,True,0.23630005307495594,0.952070994827059,0.8100664607589778,90.8563065091779,21.302770443658346,10.651385221829173
